City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Tecoanapa,MX,2022-02-01 18:24:34,16.5167,-98.75,82.63,57,0,10.54
174,Borogontsy,RU,2022-02-01 18:24:35,62.6683,131.1683,-27.49,100,100,1.88
175,Mitsamiouli,KM,2022-02-01 18:24:35,-11.3847,43.2844,82.69,78,20,0.0
176,Launceston,AU,2022-02-01 18:24:36,-41.45,147.1667,52.61,57,73,5.01
177,Lethem,GY,2022-02-01 18:24:36,3.3803,-59.7968,95.43,35,63,12.17
178,Kambove,CD,2022-02-01 18:24:36,-10.8764,26.5969,63.57,95,69,2.57
179,Osmena,PH,2022-02-01 18:24:37,10.5208,119.9258,79.2,84,93,20.2
180,Namatanai,PG,2022-02-01 18:24:37,-3.6667,152.4333,77.81,86,99,7.18
181,Coswig,DE,2022-02-01 18:24:37,51.1333,13.5833,39.33,88,100,17.27
182,Marawi,PH,2022-02-01 18:24:37,7.9986,124.2928,65.64,94,100,0.54
183,Fukue,JP,2022-02-01 18:24:38,32.6881,128.8419,45.05,56,12,13.76
184,Nuevitas,CU,2022-02-01 18:25:38,21.5453,-77.2644,81.84,57,28,14.85
185,Maningrida,AU,2022-02-01 18:25:38,-12.0667,134.2667,77.79,89,100,10.29
186,Biak,ID,2022-02-01 18:25:39,-0.9131,122.8766,77.58,77,100,4.85
187,Olafsvik,IS,2022-02-01 18:25:39,64.8945,-23.7142,29.08,93,100,16.26
188,Zhigansk,RU,2022-02-01 18:25:40,66.7697,123.3711,-29.25,99,93,8.7
189,San Andres,CO,2022-02-01 18:25:40,12.5847,-81.7006,84.22,65,20,9.22
190,Thompson,CA,2022-02-01 18:25:35,55.7435,-97.8558,-18.24,69,75,9.22
191,Hasaki,JP,2022-02-01 18:25:40,35.7333,140.8333,30.6,57,2,17.36
192,Poum,NC,2022-02-01 18:25:41,-20.2333,164.0167,80.71,78,32,10.74
193,Naze,JP,2022-02-01 18:25:41,28.3667,129.4833,55.94,70,100,11.56
194,Pisco,PE,2022-02-01 18:25:41,-13.7,-76.2167,78.85,57,20,11.5
195,Dole,FR,2022-02-01 18:25:42,47.0833,5.5,38.75,93,100,17.27
196,Grand Island,US,2022-02-01 18:23:42,40.925,-98.342,34.75,43,0,8.01
197,Port Lincoln,AU,2022-02-01 18:25:42,-34.7333,135.8667,59.68,60,2,16.93
198,Leningradskiy,RU,2022-02-01 18:25:43,69.3833,178.4167,-12.01,94,52,12.06
199,Provideniya,RU,2022-02-01 18:25:43,64.3833,-173.3,7.14,70,8,23.44
200,Arti,RU,2022-02-01 18:25:44,56.4234,58.5328,29.03,96,100,10.16
201,Chuy,UY,2022-02-01 18:25:44,-33.6971,-53.4616,76.37,37,0,5.41
202,Porto Empedocle,IT,2022-02-01 18:25:44,37.2934,13.5264,51.04,57,29,16.53
203,Ismailia,EG,2022-02-01 18:25:45,30.6043,32.2723,57.85,53,13,7.36
204,Bilibino,RU,2022-02-01 18:25:45,68.0546,166.4372,6.24,64,100,5.97
205,Yulara,AU,2022-02-01 18:25:45,-25.2406,130.9889,67.84,100,100,11.5
206,Itoman,JP,2022-02-01 18:25:45,26.1247,127.6694,64.78,82,75,8.05
207,Kenora,CA,2022-02-01 18:25:09,49.8167,-94.4337,7.77,78,100,16.11
208,Scarborough,GB,2022-02-01 18:25:46,54.2797,-0.4044,50.54,73,100,3.0
209,Geraldton,AU,2022-02-01 18:25:46,-28.7667,114.6,84.61,26,97,14.97
210,Bonavista,CA,2022-02-01 18:25:47,48.6499,-53.1147,28.11,54,42,19.69
211,Coquimbo,CL,2022-02-01 18:25:47,-29.9533,-71.3436,67.62,74,97,5.59
212,Atasu,KZ,2022-02-01 18:25:47,48.6814,71.6433,2.64,90,64,6.04
213,Yar-Sale,RU,2022-02-01 18:25:48,66.8333,70.8333,-17.19,99,63,6.24
214,Honningsvag,NO,2022-02-01 18:25:48,70.9821,25.9704,18.93,61,72,14.7
215,Dingle,PH,2022-02-01 18:25:48,10.9995,122.6711,73.71,94,100,7.14
216,Nantucket,US,2022-02-01 18:21:44,41.2835,-70.0995,39.31,72,100,9.22
217,Coahuayana,MX,2022-02-01 18:25:49,18.7333,-103.6833,83.68,39,0,6.29
218,Bogatyye Saby,RU,2022-02-01 18:25:49,56.0102,50.4483,29.52,96,100,14.97
219,Kiama,AU,2022-02-01 18:25:49,-34.6833,150.8667,73.38,90,100,1.99
220,Dunedin,NZ,2022-02-01 18:25:50,-45.8742,170.5036,63.75,78,85,7.05
221,Aksum,ET,2022-02-01 18:25:50,14.1245,38.7244,61.38,63,75,6.53
222,Vila Franca Do Campo,PT,2022-02-01 18:25:50,37.7167,-25.4333,63.19,71,49,10.65
223,Mehamn,NO,2022-02-01 18:25:51,71.0357,27.8492,19.35,49,0,20.71
224,Timra,SE,2022-02-01 18:25:51,62.487,17.3257,11.88,85,0,6.91
225,Merauke,ID,2022-02-01 18:25:06,-8.4667,140.3333,75.38,91,100,10.0
226,Mago,RU,2022-02-01 18:25:52,53.2514,140.1822,-3.32,93,96,3.58
227,Vestmannaeyjar,IS,2022-02-01 18:25:52,63.4427,-20.2734,36.59,87,75,18.41
228,Bayir,TR,2022-02-01 18:25:52,37.2687,28.2167,48.72,97,100,9.26
229,Saint Anthony,US,2022-02-01 18:25:53,45.0205,-93.218,20.28,66,75,8.01
230,Denia,ES,2022-02-01 18:26:53,38.8408,0.1057,58.84,60,0,1.99
231,Luanda,AO,2022-02-01 18:24:27,-8.8368,13.2343,77.52,77,50,16.58
232,Wajir,KE,2022-02-01 18:26:54,1.7471,40.0573,87.76,42,0,0.0
233,Klaksvik,FO,2022-02-01 18:26:54,62.2266,-6.589,32.92,73,100,19.35
234,Ust-Nera,RU,2022-02-01 18:26:54,64.5667,143.2,-4.67,99,100,4.88
235,Narsaq,GL,2022-02-01 18:26:55,60.9167,-46.05,19.62,91,62,2.08
236,Shieli,KZ,2022-02-01 18:26:55,44.1667,66.75,29.23,88,5,7.05
237,Monrovia,LR,2022-02-01 18:26:55,6.3005,-10.7969,85.77,72,68,11.77
238,Chapais,CA,2022-02-01 18:26:55,49.7834,-74.8492,11.98,85,100,15.73
239,Alyangula,AU,2022-02-01 18:26:56,-13.8483,136.4192,82.27,78,75,11.5
240,Lorengau,PG,2022-02-01 18:26:56,-2.0226,147.2712,78.53,82,100,7.05
241,Zhezkazgan,KZ,2022-02-01 18:26:57,47.8043,67.7144,8.58,96,95,9.17
242,Dong Hoi,VN,2022-02-01 18:26:57,17.4833,106.6,63.41,88,100,7.49
243,Lexington,US,2022-02-01 18:24:48,37.9887,-84.4777,58.32,35,0,13.8
244,Kang,BW,2022-02-01 18:26:57,-23.6752,22.7876,76.66,57,100,8.86
245,Cidreira,BR,2022-02-01 18:26:58,-30.1811,-50.2056,75.78,64,82,9.84
246,Kaoma,ZM,2022-02-01 18:26:58,-14.7833,24.8,65.05,92,48,0.63
247,Tiksi,RU,2022-02-01 18:26:58,71.6872,128.8694,-17.21,100,100,3.42
248,Vilhena,BR,2022-02-01 18:24:44,-12.7406,-60.1458,80.82,74,75,14.97
249,Hambantota,LK,2022-02-01 18:26:59,6.1241,81.1185,77.34,83,40,10.36
250,Hit,IQ,2022-02-01 18:26:59,33.6416,42.8251,51.39,63,0,4.41
251,Iskateley,RU,2022-02-01 18:26:59,67.6803,53.1512,-9.24,100,99,4.68
252,La Asuncion,VE,2022-02-01 18:27:00,11.0333,-63.8628,85.73,62,9,18.41
253,Nichinan,JP,2022-02-01 18:27:00,31.6,131.3667,39.76,72,58,6.53
254,Lazaro Cardenas,MX,2022-02-01 18:27:00,17.9583,-102.2,80.85,59,2,6.17
255,Husavik,IS,2022-02-01 18:27:01,66.0449,-17.3389,13.91,79,47,11.88
256,East London,ZA,2022-02-01 18:27:01,-33.0153,27.9116,76.14,88,75,8.05
257,Labuan,MY,2022-02-01 18:27:02,5.2767,115.2417,80.96,89,20,2.3
258,Lake Havasu City,US,2022-02-01 18:27:02,34.4839,-114.3224,63.1,14,0,1.99
259,Beaverlodge,CA,2022-02-01 18:27:02,55.2166,-119.4361,-10.05,87,80,3.71
260,Atikokan,CA,2022-02-01 18:27:03,48.7555,-91.6216,15.75,89,100,17.31
261,Mar Del Plata,AR,2022-02-01 18:23:02,-38.0023,-57.5575,82.87,45,0,18.99
262,Saint-Philippe,RE,2022-02-01 18:27:03,-21.3585,55.7679,78.35,90,60,21.32
263,Totma,RU,2022-02-01 18:27:04,59.9747,42.7642,21.06,97,100,3.71
264,Selfoss,IS,2022-02-01 18:27:04,63.9331,-20.9971,36.48,93,84,6.22
265,Termoli,IT,2022-02-01 18:27:04,41.9888,14.9895,42.57,49,26,33.84
266,Vanimo,PG,2022-02-01 18:27:05,-2.6741,141.3028,76.05,86,100,5.06
267,Blagoveshchenka,RU,2022-02-01 18:27:05,52.8333,79.8667,10.33,96,100,7.29
268,Barrow,US,2022-02-01 18:27:06,71.2906,-156.7887,-14.78,70,100,3.44
269,Aras,ES,2022-02-01 18:27:06,42.5617,-2.356,44.06,71,20,10.36
